Student_ID,Study_Hours,Attendance,Previous_Marks,Assignment_Score,Project_Score,Final_Marks,Result
S001,7,88,75,80,78,77,PASS
S002,8,92,82,88,85,84,PASS
S003,5,76,65,70,68,69,PASS
S004,2,55,38,40,35,40,FAIL
S005,3,62,45,48,42,46,FAIL
S006,9,95,88,92,90,90,PASS
S007,6,83,72,76,74,74,PASS
S008,1,42,28,32,30,32,FAIL
S009,7,89,80,84,82,82,PASS
S010,4,70,58,62,60,61,PASS
S011,2,50,35,38,33,37,FAIL
S012,8,91,85,88,86,86,PASS
S013,5,78,68,72,70,71,PASS
S014,3,60,42,45,40,44,FAIL
S015,9,96,90,94,92,92,PASS
S016,6,84,74,78,76,76,PASS
S017,1,45,30,33,28,32,FAIL
S018,7,87,78,82,80,80,PASS
S019,4,72,60,64,62,63,PASS
S020,2,52,36,40,35,38,FAIL
S021,8,93,84,88,86,86,PASS
S022,5,77,66,70,68,69,PASS
S023,3,63,44,48,43,45,FAIL
S024,9,97,91,94,93,92,PASS
S025,6,82,73,77,75,75,PASS
S026,1,44,29,33,27,31,FAIL
S027,7,88,79,83,81,81,PASS
S028,4,71,59,63,61,62,PASS
S029,2,53,37,41,36,38,FAIL
S030,8,90,83,87,85,85,PASS
S031,5,79,67,71,69,70,PASS
S032,3,61,43,47,42,44,FAIL
S033,9,96,89,93,91,91,PASS
S034,6,85,75,79,77,77,PASS
S035,7,86,76,80,78,78,PASS
S036,4,73,61,65,63,64,PASS
S037,2,54,39,43,38,40,FAIL
S038,8,91,84,88,86,86,PASS
S039,5,80,69,73,71,72,PASS
S040,3,64,46,50,44,47,PASS
S041,9,95,87,91,89,89,PASS
S042,6,83,73,77,75,75,PASS
S043,1,46,31,34,29,33,FAIL
S044,7,89,81,85,83,83,PASS
S045,4,74,62,66,64,65,PASS
S046,2,51,34,38,33,36,FAIL
S047,8,92,86,90,88,88,PASS
S048,5,78,67,71,69,70,PASS
S049,3,62,44,48,43,45,FAIL
S050,9,97,92,95,93,93,PASS
S051,6,84,74,78,76,76,PASS
S052,7,87,77,81,79,79,PASS
S053,4,72,60,64,62,63,PASS
S054,2,53,36,40,35,37,FAIL
S055,8,90,83,87,85,85,PASS
